@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
3936,'2020/12/08 21:22:35:658',14,-0.009507,-0.027661,0.015807,0.012519,0.060225,0.003783,1.515329,-1.066398,-1.551728,1
3937,'2020/12/08 21:22:35:711',14,-0.018876,-0.025583,0.012306,-0.073154,0.063497,-0.047476,1.513221,-1.026888,-1.587763,1
3938,'2020/12/08 21:22:35:764',14,0.019297,0.001995,0.009686,-0.021027,0.019549,-0.048416,1.514656,-0.997118,-1.615906,1
3939,'2020/12/08 21:22:35:819',14,0.029415,0.016472,-0.001337,-0.092388,-0.016554,0.040903,1.512728,-0.962245,-1.650754,1
3940,'2020/12/08 21:22:35:871',14,-0.010727,-0.001309,-0.004287,-0.129884,-0.037119,-0.004191,1.508087,-0.903088,-1.709643,1
3941,'2020/12/08 21:22:35:922',14,-0.01105,0.009551,-0.010307,0.079865,-0.103142,-0.108329,1.510502,-0.86001,-1.75772,1
3942,'2020/12/08 21:22:35:974',14,0.006309,-0.022977,0.029533,0.008223,-0.066108,0.006559,1.514504,-0.874309,-1.748063,1
3943,'2020/12/08 21:22:36:030',14,-0.009209,-0.010673,0.001866,-0.138585,0.018111,0.050875,1.508411,-0.839627,-1.783228,1
3944,'2020/12/08 21:22:36:080',14,0.005513,0.006554,-0.009095,0.016979,-0.010915,-0.02648,1.508901,-0.83362,-1.78872,1
3945,'2020/12/08 21:22:36:132',14,0.015952,0.008354,-0.006392,0.012673,0.019721,0.002542,1.508404,-0.828562,-1.793464,1
3946,'2020/12/08 21:22:36:186',14,0.007597,0.001625,0.002161,0.030396,0.022608,0.047059,1.508168,-0.855657,-1.764897,1
3947,'2020/12/08 21:22:36:237',14,0.004337,0.001615,0.009062,0.030579,0.066298,0.046101,1.507997,-0.882747,-1.735194,1
3948,'2020/12/08 21:22:36:290',14,-0.015549,-0.012823,-0.003674,0.025673,0.007448,0.034165,1.507704,-0.907159,-1.707728,1
3949,'2020/12/08 21:22:36:342',14,0.01199,0.00819,0.000878,-0.008608,0.021405,0.021476,1.507017,-0.927784,-1.686713,1
3950,'2020/12/08 21:22:36:396',14,-0.009427,-0.002606,-0.006372,-0.031343,-0.014991,0.022273,1.504541,-0.933878,-1.67947,1
3951,'2020/12/08 21:22:36:450',14,-0.008847,-0.003813,0.003182,0.001406,0.005359,-0.035585,1.504987,-0.929405,-1.68427,1
3952,'2020/12/08 21:22:36:503',14,-0.015226,-0.007017,-0.00197,-0.002499,-0.022021,-0.036318,1.504993,-0.904688,-1.709026,1
3953,'2020/12/08 21:22:36:557',14,0.006862,0.004005,0.001797,0.016761,-0.005511,-0.036871,1.507427,-0.900646,-1.713143,1
3954,'2020/12/08 21:22:36:607',14,0.007458,0.01001,-0.004801,-0.003847,-0.033241,-0.009692,1.507326,-0.896778,-1.717413,1
3955,'2020/12/08 21:22:36:658',14,-0.005167,-0.005311,-0.002505,-0.00457,-0.02881,-0.016471,1.507989,-0.885983,-1.72983,1
3956,'2020/12/08 21:22:36:716',14,-0.002576,-0.004131,-0.00393,0.037173,-0.025702,-0.040193,1.509831,-0.876678,-1.740793,1
3957,'2020/12/08 21:22:36:764',14,0.015079,-0.005006,0.001937,-0.009288,0.005304,0.006371,1.511012,-0.877681,-1.74054,1
3958,'2020/12/08 21:22:36:816',14,-0.00443,0.002449,-0.00598,-0.016811,-0.009917,-0.01328,1.509402,-0.864712,-1.753279,1
3959,'2020/12/08 21:22:36:869',14,0.016027,0.001148,0.006337,-0.005159,0.005472,0.004679,1.510322,-0.847577,-1.770846,1
3960,'2020/12/08 21:22:36:921',14,0.002526,-0.003572,0.002902,-0.012369,-0.007844,0.021357,1.5095,-0.850143,-1.768043,1
3961,'2020/12/08 21:22:36:974',14,-0.013188,-0.010055,0.003626,-0.010541,-0.001379,-0.008988,1.509776,-0.850031,-1.768532,1
3962,'2020/12/08 21:22:37:032',14,-0.002023,-0.006407,-0.002614,0.021417,-0.003687,-0.034808,1.510805,-0.831441,-1.787356,1
3963,'2020/12/08 21:22:37:080',14,0.006186,-0.001541,0.008394,-0.018721,0.001678,-0.01227,1.512072,-0.828114,-1.790937,1
3964,'2020/12/08 21:22:37:133',14,0.001334,0.00313,-0.006476,-0.009958,0.002435,0.009438,1.51106,-0.819531,-1.799389,1
3965,'2020/12/08 21:22:37:186',14,0.009382,0.003531,-0.002353,-0.00648,0.013924,0.02123,1.511145,-0.826507,-1.79247,1
3966,'2020/12/08 21:22:37:254',14,0.000864,0.000995,-0.002852,-0.023431,-0.002961,0.033334,1.509581,-0.825539,-1.793351,1
3967,'2020/12/08 21:22:37:290',14,0.002476,0.000628,-0.003898,-0.004865,-0.011115,0.018925,1.508565,-0.832381,-1.786784,1
3968,'2020/12/08 21:22:37:343',14,-0.00701,-0.000898,0.002831,-0.006377,-0.014724,-0.002539,1.507833,-0.829834,-1.789883,1
3969,'2020/12/08 21:22:37:396',14,0.011334,-0.006871,0.000926,-0.010852,-0.015892,0.033259,1.507493,-0.833694,-1.787033,1
3970,'2020/12/08 21:22:37:448',14,0.01113,-0.000302,0.007368,-0.031738,-0.014173,0.040535,1.505243,-0.843009,-1.778877,1
3971,'2020/12/08 21:22:37:501',14,-0.001129,-0.001043,-0.006094,0.031448,0.00133,0.03555,1.504191,-0.85766,-1.764353,1
3972,'2020/12/08 21:22:37:556',14,-0.017764,-0.007131,0.000539,0.025891,-0.002067,-0.018325,1.505575,-0.880658,-1.742024,1
3973,'2020/12/08 21:22:37:606',14,-0.000901,-0.005651,0.000784,-0.016689,0.013099,0.009981,1.505101,-0.876018,-1.746039,1
3974,'2020/12/08 21:22:37:658',14,0.004413,0.000986,-0.001504,0.020722,-0.004557,-0.023416,1.50534,-0.879357,-1.742517,1
3975,'2020/12/08 21:22:37:711',14,0.012627,0.00729,-0.003082,-0.010929,0.013765,0.01182,1.505359,-0.870725,-1.750395,1
3976,'2020/12/08 21:22:37:764',14,-0.00655,-0.000175,-0.002116,0.000079,-0.013467,0.020774,1.504607,-0.87203,-1.748941,1
3977,'2020/12/08 21:22:37:818',14,-0.008234,-0.010703,0.006099,-0.001181,0.005023,-0.013301,1.505316,-0.871694,-1.749577,1
3978,'2020/12/08 21:22:37:870',14,0.002712,-0.000892,-0.004589,0.014784,0.010231,-0.010463,1.505447,-0.862781,-1.75823,1
3979,'2020/12/08 21:22:37:922',14,0.00864,0.008074,0.003984,-0.008927,-0.018838,0.011682,1.50546,-0.872447,-1.748331,1
3980,'2020/12/08 21:22:37:976',14,-0.003021,-0.002562,0.003698,-0.014747,-0.004744,0.026337,1.504741,-0.876688,-1.744609,1
3981,'2020/12/08 21:22:38:026',14,-0.002067,-0.003399,-0.004189,0.002914,0.005744,0.04466,1.503637,-0.888168,-1.732996,1
3982,'2020/12/08 21:22:38:079',14,-0.005896,-0.011418,0.005434,0.013441,-0.000359,-0.009383,1.503515,-0.899031,-1.722483,1
3983,'2020/12/08 21:22:38:139',14,-0.005137,-0.010531,0.000508,0.008163,0.013208,-0.013937,1.503534,-0.898182,-1.72305,1
3984,'2020/12/08 21:22:38:185',14,-0.005937,-0.00338,-0.004425,0.027056,0.022762,-0.044253,1.505064,-0.904105,-1.716532,1
3985,'2020/12/08 21:22:38:241',14,0.001446,-0.006035,0.000698,-0.002804,0.004851,-0.019752,1.50671,-0.895807,-1.724246,1
3986,'2020/12/08 21:22:38:293',14,0.010837,0.001917,0.00635,0.027142,-0.006726,0.006767,1.507466,-0.902806,-1.71791,1
3987,'2020/12/08 21:22:38:344',14,-0.003614,-0.005356,-0.000318,-0.021271,0.004654,0.003298,1.506833,-0.898735,-1.722473,1
3988,'2020/12/08 21:22:38:407',14,0.008948,0.008488,-0.001224,0.009754,-0.004335,-0.006151,1.507858,-0.898282,-1.723234,1
3989,'2020/12/08 21:22:38:450',14,0.000798,0.000968,0.002639,-0.01123,-0.011704,0.032467,1.506704,-0.898558,-1.723189,1
3990,'2020/12/08 21:22:38:502',14,-0.011714,-0.006837,0.004389,-0.006198,-0.008102,0.006546,1.506103,-0.917074,-1.705667,1
3991,'2020/12/08 21:22:38:554',14,-0.000455,-0.005777,-0.003342,-0.025011,-0.001581,0.002385,1.50551,-0.903796,-1.719069,1
3992,'2020/12/08 21:22:38:606',14,0.001763,0.003059,-0.004502,-0.00016,-0.003253,-0.006062,1.505069,-0.902891,-1.72012,1
3993,'2020/12/08 21:22:38:658',14,0.012431,-0.002493,-0.004254,-0.00856,0.004232,0.013743,1.50487,-0.895421,-1.727432,1
3994,'2020/12/08 21:22:38:714',14,-0.008402,-0.00382,-0.000152,0.016435,-0.01681,-0.02694,1.504409,-0.896932,-1.726196,1
3995,'2020/12/08 21:22:38:764',14,0.010749,-0.011601,0.012583,-0.041807,-0.017383,0.029447,1.5042,-0.881824,-1.741499,1
3996,'2020/12/08 21:22:38:816',14,-0.002159,0.005629,-0.005834,0.013354,-0.025339,0.020822,1.502647,-0.893805,-1.730198,1
3997,'2020/12/08 21:22:38:869',14,-0.01177,-0.007199,0.005933,-0.056706,-0.066202,-0.010183,1.502719,-0.885151,-1.741024,1
3998,'2020/12/08 21:22:38:922',14,0.007164,0.026363,-0.018803,0.025626,-0.08058,-0.02882,1.501505,-0.878375,-1.753229,1
3999,'2020/12/08 21:22:38:974',14,0.006285,0.02047,0.000632,0.31117,0.162123,-0.009334,1.506722,-0.953941,-1.673621,1
4000,'2020/12/08 21:22:39:029',14,-0.036224,-0.044659,0.050139,-0.033191,-0.048798,0.02406,1.507137,-1.068862,-1.558353,1
4001,'2020/12/08 21:22:39:105',14,-0.000279,-0.016164,0.025492,-0.123074,-0.032544,0.055618,1.503726,-0.979157,-1.650552,1
4002,'2020/12/08 21:22:39:132',14,0.008055,0.019906,-0.02776,-0.071926,-0.021417,0.067255,1.497189,-1.006714,-1.623693,1
4003,'2020/12/08 21:22:39:190',14,-0.013154,0.004853,-0.043899,0.024823,-0.017688,0.007096,1.496262,-1.020985,-1.610227,1
4004,'2020/12/08 21:22:39:244',14,-0.038791,-0.001712,-0.013221,0.007987,0.0712,-0.034571,1.496827,-1.002039,-1.628479,1
4005,'2020/12/08 21:22:39:289',14,0.014338,0.002166,0.000143,0.062861,0.118903,0.001984,1.496854,-0.990771,-1.633393,1
4006,'2020/12/08 21:22:39:342',14,0.027527,-0.008081,0.017494,0.071597,0.002817,-0.028045,1.497375,-1.031826,-1.589687,1
4007,'2020/12/08 21:22:39:397',14,0.024517,-0.017392,0.025557,-0.021404,-0.040343,-0.019781,1.49987,-1.039784,-1.58286,1
4008,'2020/12/08 21:22:39:448',14,0.006145,0.002452,0.002972,-0.037115,-0.098212,-0.003524,1.500841,-1.011438,-1.614712,1
4009,'2020/12/08 21:22:39:500',14,-0.007741,0.015183,0.001076,0.014801,-0.054927,0.031119,1.501126,-1.020062,-1.610589,1
4010,'2020/12/08 21:22:39:553',14,0.012249,0.003551,-0.007052,0.044588,-0.067895,0.007058,1.501289,-1.053781,-1.57962,1
4011,'2020/12/08 21:22:39:607',14,0.006569,-0.012083,-0.011415,0.002799,-0.051549,0.012468,1.501146,-1.07672,-1.56012,1
4012,'2020/12/08 21:22:39:658',14,-0.02359,-0.011357,-0.012215,-0.006802,-0.010963,-0.024123,1.501273,-1.059795,-1.578987,1
4013,'2020/12/08 21:22:39:711',14,-0.013826,0.004758,-0.000686,0.008521,0.042918,-0.031121,1.502639,-1.04165,-1.595701,1
4014,'2020/12/08 21:22:39:764',14,0.019476,0.005499,0.004412,0.017885,0.034928,0.00966,1.502086,-1.04838,-1.58679,1
4015,'2020/12/08 21:22:39:820',14,0.015103,0.000695,0.006764,0.012583,-0.037082,0.007318,1.501678,-1.062889,-1.572865,1
4016,'2020/12/08 21:22:39:869',14,0.002566,-0.006356,0.012315,-0.0012,-0.010791,0.029825,1.502108,-1.073939,-1.563567,1
4017,'2020/12/08 21:22:39:921',14,0.002163,-0.002259,-0.009764,0.023885,-0.045588,0.020591,1.500891,-1.0858,-1.553902,1
4018,'2020/12/08 21:22:39:973',14,-0.01465,-0.012352,0.004259,0.022388,-0.032337,-0.004682,1.501899,-1.117917,-1.524146,1
4019,'2020/12/08 21:22:40:028',14,0.001001,-0.010555,0.000548,-0.03278,0.022568,0.037979,1.500534,-1.109753,-1.532379,1
4020,'2020/12/08 21:22:40:080',14,-0.003099,0.003946,-0.010716,0.003782,-0.028308,-0.019222,1.499305,-1.107578,-1.534939,1
